#,Section,Step / Function,Expected Result,Pass/Fail,Notes
1,1. Access the documentation,Open the Marvin documentation site (this site) in a browser.,"The docs load: Home, Creating Tests, Example Tests, and the install/UAT pages are all reachable.",,
2,1. Access the documentation,Open Creating Tests and scroll to the driver API and the AI prompt.,The page shows the web and desktop driver methods and a copy-pasteable AI prompt.,,
3,2. Startup and diagnostics,Launch Marvin.,"A splash appears, then a diagnostics screen before the main dashboard.",,
4,2. Startup and diagnostics,Review the diagnostics checks.,"Node, OS, Git, Chrome, ChromeDriver, PowerShell, and Scheduler each show a pass/warn/fail badge.",,
5,2. Startup and diagnostics,Click Continue.,"The main dashboard opens, with the Marvin title and logo at the top.",,
6,3. Desktop / Web mode toggle,"Click Web Tests, then Desktop Tests.","The mode switches; test cards show web options (OKTA, Visual Browser) in Web mode and hide them in Desktop mode.",,
7,3. Desktop / Web mode toggle,Switch mode with a non-empty run sequence.,"You are prompted to confirm, and the sequence clears on confirm.",,
8,3. Desktop / Web mode toggle,Restart Marvin.,The last selected mode is remembered.,,
9,4. Zephyr identity fields,Enter a name in Tester name (for Zephyr reporting).,The value is accepted and persists across restarts.,,
10,4. Zephyr identity fields,Enter your ID in Atlassian account ID (for Zephyr reporting).,The value is accepted and persists across restarts.,,
11,5. Secrets,Click Open Secrets.,"The Secrets panel opens showing the default secrets (ZEPHYR_API_TOKEN, GITHUB_PERSONAL_ACCESS_TOKEN, GITHUB_USERNAME) with blank/masked values.",,
12,5. Secrets,"Add a new secret (name + value), click Save.","It is added and its value is masked, never shown in plain text.",,
13,5. Secrets,Edit an existing secret's value and save.,The new value is stored; the field stays masked.,,
14,5. Secrets,Delete a secret.,"You are asked to confirm, and it is removed.",,
15,5. Secrets,"Set ZEPHYR_API_TOKEN, GITHUB_USERNAME, and GITHUB_PERSONAL_ACCESS_TOKEN to real values.","Saved, for the repo and Zephyr steps below.",,
16,6. Pull tests from a repo,Paste a public repo URL and click Refresh Tests.,The tests under the repo's tests/ folder appear as test cards.,,
17,6. Pull tests from a repo,Click the private repo help (PAT) button.,"A popup explains how to create a GitHub token, with the steps image.",,
18,6. Pull tests from a repo,"Tick private repo, set GITHUB_USERNAME and GITHUB_PERSONAL_ACCESS_TOKEN as secrets, paste a private repo URL, and Refresh Tests.",The private repo clones and its tests appear.,,
19,6. Pull tests from a repo,Refresh Tests again while a test folder is in use.,It refreshes without an EBUSY error.,,
20,7. Build a test with AI,Open Creating Tests in the docs and copy the AI prompt.,The prompt copies cleanly.,,
21,7. Build a test with AI,"Paste it into your AI assistant with a description of a test you want, and get back a run.js.",The AI returns a run.js following the documented format.,,
22,7. Build a test with AI,"Put it in your test repo as tests/<name>/run.js, push, then Refresh Tests in Marvin.",The new test appears as a card and can be added to a sequence.,,
23,8. Configure a test card,Add a test to the run sequence.,It appears in the Run Sequence sidebar.,,
24,8. Configure a test card,Fill in any parameters on the card.,Values are retained.,,
25,8. Configure a test card,Reference a secret in a parameter (${{ secrets.NAME }}) that does not exist.,The card shows a warning badge for the undefined secret.,,
26,8. Configure a test card,Enter Zephyr Project/Case/Cycle keys on the card.,Accepted; malformed keys are flagged on dry run (below).,,
27,8. Configure a test card,"In Web mode, set an OKTA environment and toggle Visual Browser.",Both options are available on web test cards.,,
28,9. Dry run (validate without executing),"With a configured sequence, click Dry Run (validate only).","A report shows PASS/WARN/FAIL per test: empty required parameters, missing secret references, and bad Zephyr key formats are flagged. No test actually runs.",,
29,10. Run a sequence,"In Desktop mode, add a built-in test (for example the Notepad showcase) and click Run Sequence.","The test runs, live log output streams into the panel, and it finishes with a pass/fail summary.",,
30,10. Run a sequence,"In Web mode, add a web test and Run Sequence.","Chrome launches (visible if Visual Browser is on), the test runs, results stream in.",,
31,10. Run a sequence,Run a sequence of two or more tests.,They run in order and each reports its own result.,,
32,11. Stop a run,"Start a longer run, then click the red Stop button.",The run halts within a couple of seconds and the log ends with === Stopped by user ===.,,
33,11. Stop a run,"After stopping, start another run.",The UI is back to idle and a new run starts normally.,,
34,12. Logs and failure screenshots,Click Show Server-side Test Logs.,The server-side run log is shown.,,
35,12. Logs and failure screenshots,Click the Marvin logs button.,Marvin's own (app) log output is shown.,,
36,12. Logs and failure screenshots,Run a test that fails on screen.,A failure screenshot is captured and shown inline in the log.,,
37,13. Zephyr reporting,Run a test with valid Zephyr keys and a set ZEPHYR_API_TOKEN.,A result is posted to the Zephyr Scale test cycle.,,
38,13. Zephyr reporting,Set only Tester name (no Atlassian ID) and run.,The execution comment in Zephyr includes Executed by: <name>.,,
39,13. Zephyr reporting,Set a valid Atlassian account ID and run.,Zephyr's native Executed by and Assigned to fields are populated from the account ID.,,
40,14. Create and manage schedules,"Click + New Schedule, set a name, time, and days from the current sequence, and save.",The schedule appears in the Scheduled Sequences list.,,
41,14. Create and manage schedules,Click Run Now on a schedule.,"It executes immediately, the same as a manual run.",,
42,14. Create and manage schedules,Pause then Resume a schedule.,Its status changes accordingly and it stops/starts firing on schedule.,,
43,14. Create and manage schedules,"Edit a schedule (name, time, days, notifications, Zephyr identity).",Changes are saved.,,
44,14. Create and manage schedules,Toggle a schedule's Logs.,The last run's log is shown.,,
45,14. Create and manage schedules,Delete a schedule.,"You confirm, and it is removed.",,
46,14. Create and manage schedules,Confirm a schedule created by one user is visible to another user on the same machine.,Schedules are shared across users.,,
47,15. Notifications,"On a schedule, set an ntfy topic (and optional server) and let it run.",An ntfy notification with the run result is delivered.,,
48,15. Notifications,Set a Teams webhook (all results) and a Teams webhook (failures only).,"Every run posts to the all-results webhook; a failing run also posts to the failures webhook, including logs.",,
49,16. Export and import a schedule,"Click Export on a schedule, set a password, and save the .utsb file.",An encrypted .utsb bundle is downloaded.,,
50,16. Export and import a schedule,"Click Import Schedule, choose the .utsb, and enter the password.","The schedule, its test code, images, and secrets are restored and it appears in the list.",,
51,16. Export and import a schedule,Try importing with the wrong password.,"Import fails cleanly with an error, not a crash.",,
